geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
mono,brake,linear (OOF by scene) [escalate only pred>0],True,0.2,0.36879119244316444,675.0,0,3376,0.23944067139278313,0.5442469338962264,0.260380558432158,0.11592142439779456,0.44157523252229597,0.0,0.14011394910046676,-0.08422202226896744,0.37362456583411857
mono,brake,gbm (OOF by scene),True,0.2,0.509521290525424,675.0,0,3376,0.30533858911912554,0.713536085160799,0.391845770272123,0.17386644275984017,0.6038769485118219,0.0,0.2715791609404316,0.1442484446980063,0.41173295842281593
mono,brake,gbm (OOF by scene) [escalate only pred>0],True,0.2,0.509521290525424,675.0,0,3376,0.30533858911912554,0.713536085160799,0.391845770272123,0.17386644275984017,0.6038769485118219,0.0,0.2715791609404316,0.1442484446980063,0.41173295842281593
mono,brake,random,True,0.3,0.1779267200533135,1013.0,0,3376,,,,,,,,,
mono,brake,unc_sum (eta-table uncertainty),True,0.3,0.28495700878656344,1013.0,0,3376,0.10009132215326798,0.4233942951264998,0.09940857541198593,-0.07796202510260346,0.2539375160573732,0.135,,,
mono,brake,feat_ent_mean (gate uncertainty),True,0.3,0.18579706974566532,1013.0,0,3376,0.05524107978244649,0.33040443290442933,0.013291105142133185,-0.11961722248706098,0.15955421327353006,0.455,-0.08611747026985274,-0.32358992073624215,0.15555241529782268
mono,brake,crit_sum (GT geometry),False,0.3,0.33744998126837994,1013.0,0,3376,0.1309249555445092,0.48617241326027477,0.14985151018275253,-0.02475525349406159,0.2961261973161083,0.055,0.050442934770766605,-0.12454121422902499,0.2044549221172335
mono,brake,dE_E6_risk_weighted (needs FULL),False,0.3,0.2227824542344097,1013.0,0,3376,0.06774779723627328,0.4278352311083588,0.06436693274627972,-0.10086455767748986,0.22462784728348478,0.25,-0.03504164266570622,-0.33797629972930243,0.2478620778232757
mono,brake,linear (OOF by scene),True,0.3,0.47557480863516904,1013.0,0,3376,0.2756119398501506,0.6272293642870651,0.2839714267420462,0.09311974400738594,0.4623753548941753,0.005,0.18456285133006023,0.07844522222864624,0.3013742679535656
mono,brake,linear (OOF by scene) [escalate only pred>0],True,0.3,0.47557480863516904,1013.0,0,3376,0.2756119398501506,0.6272293642870651,0.2839714267420462,0.09311974400738594,0.4623753548941753,0.005,0.18456285133006023,0.07844522222864624,0.3013742679535656
mono,brake,gbm (OOF by scene),True,0.3,0.5108347915091042,1013.0,0,3376,0.32482091096820986,0.683296729462172,0.3392279103335333,0.14913736821097712,0.5115838978703089,0.0,0.23981933492154733,0.10901219367706849,0.38764982198174014
mono,brake,gbm (OOF by scene) [escalate only pred>0],True,0.3,0.5108347915091042,1013.0,0,3376,0.32482091096820986,0.683296729462172,0.3392279103335333,0.14913736821097712,0.5115838978703089,0.0,0.23981933492154733,0.10901219367706849,0.38764982198174014
mono,plan,random,True,0.1,0.034443500484368464,266.0,0,2655,,,,,,,,,
